NameID,Name,Formula,Library match,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],CSID,mzCloud Best Match,mzCloud Best Match Confidence,KEGG ID,Reference Ion
RT4.435_MZ205.09697,Tryptophan,C11 H12 N2 O2,Full match,-0.91,204.08969,205.09697,4.435,1116,,,,[M+H]+1
RT5.2_MZ118.08615,Valine,C5 H11 N O2,Full match,-0.9,117.07887,118.08615,5.2,6050,99.9,10,C00183,[M+H]+1
RT2.712_MZ137.04561,Hypoxanthine,C5 H4 N4 O,Full match,-1.34,136.03833,137.04561,2.712,,,,,[M+H]+1
RT9.787_MZ147.11259,Lysine,C6 H14 N2 O2,Full match,-1.44,146.10532,147.11259,9.787,843,,,,[M+H]+1
RT4.77_MZ132.10172,Leucine,C6 H13 N O2,Full match,-1.42,131.09444,132.10172,4.77,89698,76.3,8.8,C00407,[M+H]+1
RT2.536_MZ136.06157,Adenine,C5 H5 N5,Full match,-1.51,135.05429,136.06157,2.536,,,,,[M+H]+1
RT8.355_MZ198.08461,Citrulline,C6 H13 N3 O3,Full match,-1.69,175.0954,198.08461,8.355,810,,,,[M+Na]+1
RT4.652_MZ132.10172,Leucine,C6 H13 N O2,Full match,-1.38,131.09445,132.10172,4.652,89698,77.9,8.9,C00407,[M+H]+1
RT3.978_MZ104.10689,Choline,C5 H13 N O,Full match,-0.99,103.09961,104.10689,3.978,,98.9,9.9,C00114,[M+H]+1
RT6.858_MZ90.05487,Alanine,C3 H7 N O2,Full match,-1.01,89.04759,90.05487,6.858,5735,,,,[M+H]+1
RT7.197_MZ120.06538,Threonine,C4 H9 N O3,Full match,-1.2,119.0581,120.06538,7.197,6051,,,,[M+H]+1
RT5.316_MZ116.07043,Proline,C5 H9 N O2,Full match,-1.72,115.06313,116.07043,5.316,128566,,,,[M+H]+1
RT3.918_MZ152.05652,Guanine,C5 H5 N5 O,Full match,-1.09,151.04924,152.05652,3.918,744,,,,[M+H]+1
RT8.386_MZ148.06021,Glutamic acid,C5 H9 N O4,Full match,-1.51,147.05294,148.06021,8.386,591,,,,[M+H]+1
RT3.379_MZ163.12279,Nicotine,C10 H14 N2,Full match,-1.13,162.11552,163.12279,3.379,917,,,,[M+H]+1
RT3.645_MZ104.10689,Choline,C5 H13 N O,Full match,-0.97,103.09961,104.10689,3.645,,99.8,10,C00114,[M+H]+1
RT3.872_MZ269.08778,Inosine,C10 H12 N4 O5,Full match,-0.99,268.0805,269.08778,3.872,,,,,[M+H]+1
RT2.882_MZ114.06609,Creatinine,C4 H7 N3 O,Full match,-0.86,113.05881,114.06609,2.882,568,,,,[M+H]+1
RT4.943_MZ132.10176,Isoleucine,C6 H13 N O2,Full match,-1.11,131.09448,132.10176,4.943,89698,76.3,8.8,C00407,[M+H]+1
RT5.756_MZ118.08607,Betaine,C5 H11 N O2,Full match,-1.6,117.07879,118.08607,5.756,242,,,,[M+H]+1
