NameID,P11,P12,P13,P14,P15,P16,P17,P21,P22,P23,P24,P25,P26,P27,P31,P32,P33,P34,P35,P36,P37,P41,P42,P43,P44,P45,P46,P47,P51,P52,P53,P54,P55,P56,P61,P62,P63,P64,P65,P66,P67,P71,P72,P73,P74,P75,P76,P77
RT4.435_MZ205.09697,0.002767029,0.001822141,0.001388023,0.000728828,0.000234092,0.000875834,0.000348871,0.001184794,0.000401757,0.000420105,0.002587468,0.001861554,0.000258174,0.00045436,0.001016859,0.002417669,0.000586613,0.000525139,0.000737546,0.00035853,0.000511569,0.004108785,0.002211239,0.001614791,0.0014013,0.000695569,0.001316349,0.000978924,0.002950748,0.002746481,0.001901217,0.001617635,0.000622188,0.001200654,0.00457348,0.009928337,0.011255088,0.001435063,0.002751924,0.001936866,0.001610577,0.001787462,0.004056809,0.001982689,0.001088348,0.001389181,0.001389993,0.00256659
RT5.2_MZ118.08615,0.052535488,0.023569325,0.026885754,0.018559188,0.012879016,0.020454944,0.024700556,0.020314241,0.024255118,0.021594022,0.096679173,0.064586452,0.014163089,0.022960973,0.013303613,0.022002698,0.011800614,0.012959131,0.010632497,0.00746911,0.021700328,0.022491434,0.036099427,0.016450698,0.030144593,0.034275178,0.141228566,0.030155091,0.231860221,0.12690885,0.02329909,0.048181003,0.014321826,0.028194246,0.087746331,0.056533733,0.108294783,0.195596603,0.029137432,0.02226574,0.021234027,0.029758032,0.028829415,0.019758483,0.013775793,0.016535056,0.011352779,0.008409675
RT2.712_MZ137.04561,0.007460314,0.003553839,0.003264599,0.001205001,0.000839241,0.001743677,0.001253055,0.002002273,0.000971048,0.001022397,0.015297591,0.001337614,0.000707684,0.000821509,0.00164837,0.002618218,0.000956853,0.001209393,0.001280369,0.000706804,0.001000655,0.018085706,0.005383116,0.004810161,0.002431758,0.00137655,0.001826165,0.004141418,0.003045205,0.004251559,0.002423713,0.002205359,0.001001153,0.001145012,0.001186952,0.003108261,0.007246111,0.00124492,0.002170162,0.00162788,0.001808116,0.00489038,0.005139069,0.004662319,0.003350831,0.002455304,0.00187503,0.002546125
RT9.787_MZ147.11259,0.000759511,0.001121694,0.000786944,0.000695167,0.000571403,0.00131452,0.000482705,0.000825513,0.000717996,0.000830907,0.006197652,0.004321838,0.000564086,0.000710187,0.001016645,0.003370369,0.001069231,0.001149497,0.00162782,0.000967669,0.001194627,0.00133605,0.000931831,0.002138337,0.001271425,0.000556101,0.000965376,0.000837001,0.003130632,0.001773184,0.002768304,0.001830539,0.001100859,0.001679811,0.001566603,0.002877312,0.0008881,0.001745739,0.001900795,0.001242302,0.002397875,0.003099714,0.003712513,0.0024994,0.002796556,0.002219489,0.001998016,0.003350525
RT4.77_MZ132.10172,0.017229048,0.007640251,0.007928941,0.003637807,0.003208659,0.005080034,0.005196555,0.003239465,0.002784351,0.002946653,0.026217928,0.011036125,0.002357535,0.001545461,0.004601018,0.010694263,0.002230375,0.003144071,0.002519281,0.00237552,0.002941492,0.023344006,0.057381141,0.03856368,0.083089875,0.062858364,0.108137762,0.093714978,0.018909051,0.004345449,0.009946008,0.006834669,0.003516835,0.009530385,0.018919469,0.035996173,0.041654211,0.011478074,0.009918102,0.009557569,0.011866299,0.013503618,0.011372535,0.044290365,0.006172904,0.008617458,0.007293593,0.008925345
RT2.536_MZ136.06157,0.005001082,0.003425224,0.003158985,0.002050886,0.002158748,0.003463877,0.002201783,0.001705991,0.001464323,0.001981857,0.016308483,0.002776925,0.001676134,0.002277402,0.002428047,0.008000804,0.001504176,0.002064279,0.003231069,0.001416789,0.002029466,0.010942871,0.004746105,0.003352786,0.000829388,0.002448718,0.005471184,0.002456689,0.002823156,0.005796142,0.003040893,0.003279209,0.001596203,0.002683597,0.004467912,0.004307619,0.008229686,0.001992112,0.004047876,0.003846467,0.002891214,0.002304466,0.002146829,0.004052186,0.002130005,0.002056997,0.002137297,0.003456677
RT8.355_MZ198.08461,0.001352021,0.000753716,0.000772426,0.000590755,0.000393211,0.000936439,0.000411429,0.000579281,0.000376749,0.000459139,0.000832523,0.000824315,0.000302332,0.000351177,0.001355374,0.001308928,0.000556661,0.00072806,0.000352199,0.000390723,0.000449837,0.000365757,0.000710538,0.001011838,0.000974526,0.000755678,0.000980301,0.000427657,0.001005765,0.001293123,0.001383374,0.00134724,0.000935461,0.001777002,0.004839851,0.00667875,0.00196827,0.002659479,0.003077734,0.002045352,0.002560331,0.002007362,0.001900804,0.001203633,0.001764059,0.001715568,0.001326269,0.001635863
RT4.652_MZ132.10172,0.004487833,0.007662833,0.004754595,0.003659056,0.003208659,0.005080034,0.005198996,0.003234394,0.002531308,0.002931462,0.02333975,0.011036125,0.002357535,0.001363285,0.004601018,0.008780811,0.002230375,0.003144071,0.002049492,0.00237552,0.002795843,0.023344006,0.010774318,0.009735019,0.007001888,0.002573682,0.004504108,0.00511062,0.018909051,0.004345449,0.009957635,0.00681463,0.003516835,0.0094386,0.018822069,0.035996173,0.037244083,0.011444798,0.009918102,0.009565338,0.011866299,0.013564832,0.01138972,0.011040672,0.001994923,0.008617458,0.007297721,0.008734518
RT3.978_MZ104.10689,0.000617958,0.000183207,0.002467464,0.000876826,0.008191867,0.016604553,0.001283412,0.001227673,0.002681873,0.005476841,0.002653587,0.003902457,0.001999915,0.000399217,6.15E-05,0.010947963,0.002838983,0.002534978,0.003376354,0.003773207,0.002202398,0.004733446,0.001456907,0.01329764,0.009452131,0.001070563,0.002394806,0.008526013,0.009554644,0.014154595,0.001302457,0.006148185,0.003812356,0.005323332,0.000325885,0.00017014,0.014222372,0.007441259,0.008058488,0.000228868,0.003812479,0.001162824,0.00066264,0.004631587,0.009621114,0.004786106,0.017826217,0.005560277
RT6.858_MZ90.05487,0.000547713,0.000783407,0.000556622,0.000452175,0.000443193,0.00082947,0.000456155,0.000475053,0.000286785,0.000547202,0.001158443,0.001617579,0.000571389,0.000472829,0.000557205,0.002293695,0.000517088,0.000452099,0.000457601,0.000570031,0.000393255,0.00037275,0.000768771,0.000517862,0.000311253,0.000316468,0.000611468,0.000464435,0.001224975,0.001382296,0.00128709,0.001027593,0.000436485,0.001004501,0.001606973,0.001807628,0.004156196,0.000788144,0.001969324,0.001482657,0.001193588,0.000576508,0.0014325,0.000572987,0.000564455,0.000477285,0.000627028,0.000991106
RT7.197_MZ120.06538,0.00157619,0.00186557,0.001369289,0.001162508,0.000872888,0.002007093,0.000957233,0.001414227,0.001795277,0.001373418,0.008400042,0.003801726,0.001158308,0.0021431,0.001929559,0.006219687,0.001843745,0.001621394,0.001196256,0.001455783,0.001540345,0.002416297,0.001678952,0.001731196,0.00253124,0.001273682,0.00200006,0.001253,0.003308547,0.00377826,0.003091271,0.002631937,0.001103181,0.002555035,0.006283585,0.010220649,0.010529429,0.002291898,0.004029576,0.003550899,0.002799949,0.002069708,0.0034504,0.001881621,0.002002253,0.001676946,0.001670245,0.00230024
RT5.316_MZ116.07043,0.00048974,0.000256304,0.000307411,0.000263436,0.000220165,0.000418583,0.00023152,0.000226391,0.000215598,0.000113587,0.001251965,0.000507231,0.000237735,0.000738941,0.000255711,0.000920908,0.000421671,0.000192801,0.000357999,0.000165683,0.000200949,0.00071462,0.000308815,0.000252434,0.000546287,0.000337812,0.000741618,0.000246939,0.0002946,0.00132864,0.000405374,0.000541063,0.000167506,0.000262731,0.000174777,0.000203573,0.000668797,0.000107007,0.000289657,0.000364252,0.00038712,0.000256451,0.000426262,0.000164436,0.000138712,0.000136608,0.000230496,0.000782697
RT3.918_MZ152.05652,0.005995176,0.014043607,0.005361797,0.000801152,0.000607252,0.000753307,0.000443674,0.001660288,0.000475117,0.002992707,0.002960496,0.000838271,0.000326737,0.000316767,0.000887366,0.002415949,0.000430855,0.011091836,0.00083946,0.000823325,0.00073503,0.006355375,0.002978415,0.001399599,0.002074459,0.001681001,0.006053087,0.001680976,0.005539909,0.02023828,0.003739352,0.007510842,0.001213409,0.004852328,0.001313806,0.003505006,0.008855577,0.000435895,0.001280423,0.002489637,0.002335292,0.001121282,0.001811229,0.001650047,0.004001657,0.001116496,0.001275898,0.002028218
RT8.386_MZ148.06021,0.005177453,0.003498911,0.003343789,0.002648197,0.002050597,0.003803209,0.001644865,0.002913923,0.00242531,0.002121514,0.006383629,0.004955662,0.00191279,0.002598373,0.002508346,0.004545056,0.00154238,0.002026665,0.002342037,0.001658521,0.00227059,0.000768966,0.002778099,0.003471266,0.00345553,0.00206189,0.00343225,0.00405425,0.005087139,0.002553152,0.004352429,0.003320038,0.002437858,0.003936713,0.005088236,0.006565347,0.00394182,0.004267761,0.003970512,0.003276783,0.005867995,0.00567061,0.004800888,0.004070432,0.006511168,0.006248216,0.010022899,0.010074253
RT3.379_MZ163.12279,0.000125245,0.000544156,0.000204138,0.000103562,4.36E-05,0.000139468,0.000480275,0.000124832,0.000485226,0.000232693,0.002484906,0.000229557,0.000209998,0.000462927,0.00129349,0.00160751,0.001875774,0.000839205,0.004045828,0.000546146,0.000746555,0.026155566,0.00805883,0.003301378,0.002994195,0.000547866,0.001950372,0.000566426,0.000366408,0.003113772,0.000464848,0.001087153,0.000371431,0.000398559,0.000244247,0.000210343,0.001058398,0.000169177,0.000743969,0.001662217,8.21E-05,0.009405436,0.010020327,0.004009831,0.000687612,0.000456506,0.001450535,0.000949995
RT3.645_MZ104.10689,0.029403009,0.008029818,0.350181438,0.050105221,1.313187704,2.978962622,0.037400794,0.029404504,0.083532993,1.421122122,0.445674865,0.583420541,0.608371058,0.333411837,0.007957116,1.826774054,1.220560609,0.310716892,0.281634256,0.125783587,0.250422325,0.183381278,0.11236243,1.003829239,0.705059549,0.198087009,0.182086144,1.31192305,1.919379676,1.705776249,0.063912193,0.786390655,0.879993477,0.495880702,0.006220817,0.017064112,2.503983731,0.733763743,1.381517938,0.039530016,0.7090972,0.020543706,0.057314632,1.209714015,1.738778008,0.540360741,2.312125104,0.227411413
