NameID,Name,Formula,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],mzCloud Best Match,mzCloud Best Match Confidence,KEGG ID,Reference Ion
RT14.68_MZ284.33008,Cetrimonium,C19 H41 N,-3.88,283.3228,284.33008,14.68,89.8,9.5,C11275,[M+H]+1
RT12.997_MZ228.26775,Dodecyltrimethylammonium,C15 H33 N,-3.63,227.26047,228.26775,12.997,79,9,C20389,[M+H]+1
RT13.926_MZ256.29888,,C17 H37 N,-3.89,255.29161,256.29888,13.926,,,,[M+H]+1
RT15.145_MZ312.3612,,C21 H45 N,-4.1,311.35392,312.3612,15.145,,,,[M+H]+1
RT13.883_MZ256.29921,,C17 H37 N,-2.63,255.29193,256.29921,13.883,,,,[M+H]+1
RT14.932_MZ369.38266,,C23 H48 N2 O,-3.47,368.37539,369.38266,14.932,,,,[M+H]+1
RT14.962_MZ369.38272,,C23 H48 N2 O,-3.31,368.37544,369.38272,14.962,,,,[M+H]+1
RT15.559_MZ368.42374,,C25 H53 N,-3.63,367.41647,368.42374,15.559,,,,[M+H]+1
RT12.647_MZ343.29438,,C19 H38 N2 O3,-3.34,342.2871,343.29438,12.647,,,,[M+H]+1
RT15.369_MZ340.39255,,C23 H49 N,-3.6,339.38528,340.39255,15.369,,,,[M+H]+1
RT0.796_MZ88.02352,,,,87.01625,88.02352,0.796,,,,[M+H]+1
RT14.936_MZ310.34575,,C21 H43 N,-3.47,309.33848,310.34575,14.936,,,,[M+H]+1
RT13.714_MZ371.32567,,C21 H42 N2 O3,-3.12,370.31839,371.32567,13.714,,,,[M+H]+1
RT13.626_MZ326.3407,,C21 H43 N O,-3.19,325.33343,326.3407,13.626,,,,[M+H]+1
RT13.4_MZ328.35637,,C21 H45 N O,-3.13,327.34909,328.35637,13.4,,,,[M+H]+1
RT14.079_MZ244.22636,,C14 H29 N O2,-3.09,243.21908,244.22636,14.079,,,,[M+H]+1
RT14.34_MZ341.35165,,C21 H44 N2 O,-2.91,340.34437,341.35165,14.34,,,,[M+H]+1
RT15.971_MZ144.98183,Ethephon,C2 H6 Cl O3 P,1.7,143.97455,144.98183,15.971,,,,[M+H]+1
RT15.002_MZ350.23489,mavorixafor,C21 H27 N5,2.76,349.22761,350.23489,15.002,,,,[M+H]+1
RT0.526_MZ125.98615,,,,124.97888,125.98615,0.526,,,,[M+H]+1
RT0.63_MZ104.10707,,C5 H13 N O,0.76,103.09979,104.10707,0.63,,,,[M+H]+1
RT12.646_MZ240.2315,,C15 H29 N O,-2.91,239.22422,240.2315,12.646,,,,[M+H]+1
RT15.267_MZ319.28337,,C18 H38 O4,-2.86,318.2761,319.28337,15.267,,,,[M+H]+1
RT0.526_MZ84.96009,,,,83.95281,84.96009,0.526,,,,[M+H]+1
RT13.494_MZ322.20372,,C15 H31 N O4 S,-2.91,321.19644,322.20372,13.494,,,,[M+H]+1
RT13.885_MZ326.34066,,C21 H43 N O,-3.33,325.33338,326.34066,13.885,,,,[M+H]+1
RT12.55_MZ285.28916,,C17 H36 N2 O,-3.09,284.28189,285.28916,12.55,,,,[M+H]+1
RT2.882_MZ100.11227,Cyclohexylamine,C6 H13 N,2,99.105,100.11227,2.882,,,,[M+H]+1
RT13.827_MZ326.34066,,C21 H43 N O,-3.32,325.33338,326.34066,13.827,,,,[M+H]+1
RT13.037_MZ272.25754,,C16 H33 N O2,-3.18,271.25027,272.25754,13.037,,,,[M+H]+1
RT13.907_MZ288.25241,,C16 H33 N O3,-3.18,287.24513,288.25241,13.907,,,,[M+H]+1
RT16.288_MZ460.29241,,C18 H38 N9 O3 P,3.51,459.28513,460.29241,16.288,,,,[M+H]+1
RT13.685_MZ328.35634,,C21 H45 N O,-3.22,327.34906,328.35634,13.685,,,,[M+H]+1
RT14.672_MZ399.35701,,C23 H46 N2 O3,-2.8,398.34973,399.35701,14.672,,,,[M+H]+1
RT16.391_MZ139.9876,,,,138.98032,139.9876,16.391,,,,[M+H]+1
RT3.688_MZ206.13815,Panthenol,C9 H19 N O4,-2.59,205.13088,206.13815,3.688,73.7,8.7,C05944,[M+H]+1
RT12.664_MZ285.28924,,C17 H36 N2 O,-2.82,284.28196,285.28924,12.664,,,,[M+H]+1
RT14.634_MZ308.33021,,C21 H41 N,-3.14,307.32294,308.33021,14.634,,,,[M+H]+1
RT14.116_MZ300.28878,"THREO-SPHINGOSINE, (?)-",C18 H37 N O2,-3.1,299.2815,300.28878,14.116,,,,[M+H]+1
RT14.122_MZ300.28901,"THREO-SPHINGOSINE, (?)-",C18 H37 N O2,-2.33,299.28173,300.28901,14.122,,,,[M+H]+1
RT0.821_MZ100.11229,Cyclohexylamine,C6 H13 N,2.15,99.10501,100.11229,0.821,,,,[M+H]+1
RT0.814_MZ139.04992,4-Nitroaniline,C6 H6 N2 O2,-2.09,138.04264,139.04992,0.814,,,,[M+H]+1
RT15.914_MZ416.2664,,C22 H43 N P2 S,-0.06,415.25912,416.2664,15.914,,,,[M+H]+1
RT15.606_MZ284.33034,Cetrimonium,C19 H41 N,-2.96,283.32306,284.33034,15.606,92.4,9.6,C11275,[M+H]+1
RT0.523_MZ110.00882,,C2 H7 N S2,-4.08,109.00155,110.00882,0.523,,,,[M+H]+1
RT0.614_MZ150.1121,Triethanolamine,C6 H15 N O3,-2.5,149.10482,150.1121,0.614,,,,[M+H]+1
RT16.462_MZ460.29248,,C15 H42 N9 O3 P S,-3.69,459.2852,460.29248,16.462,,,,[M+H]+1
RT13.607_MZ328.35637,,C21 H45 N O,-3.11,327.3491,328.35637,13.607,,,,[M+H]+1
RT12.785_MZ271.1896,"(2E,6E)-10,11-Dihydroxy-3,7,11-trimethyl-2,6-dodecadienoic acid",C15 H26 O4,-2.92,270.18232,271.1896,12.785,,,,[M+H]+1
RT14.504_MZ354.372,,C23 H47 N O,-2.96,353.36472,354.372,14.504,,,,[M+H]+1
RT15.905_MZ336.30978,,C14 H37 N7 O2,4.85,335.3025,336.30978,15.905,,,,[M+H]+1
RT0.525_MZ214.91712,,,,213.90984,214.91712,0.525,,,,[M+H]+1
RT0.137_MZ88.02351,,,,87.01623,88.02351,0.137,,,,[M+H]+1
RT15.064_MZ316.28373,,C18 H37 N O3,-2.82,315.27645,316.28373,15.064,,,,[M+H]+1
RT14.306_MZ356.38765,,C23 H49 N O,-2.93,355.38038,356.38765,14.306,,,,[M+H]+1
RT0.629_MZ148.11363,,,,147.10636,148.11363,0.629,,,,[M+H]+1
