NameID, P11, P12,P13, P14, P15, P16, P17, P21, P22, P23, P24, P25, P26, P27, P31, P32, P33, P34, P35, P36, P37, P41, P42, P43, P44, P45, P46, P47, P51, P52, P53,P54, P55, P56, P61, P62, P63, P64, P65, P66, P67, P71, P72, P73, P74, P75, P76, P77
RT14.68_MZ284.33008,2.712331853,2.064376744,3.550887949,5.088521979,4.634591867,8.871201433,5.362691599,2.587270752,6.668242001,9.315756102,22.97103583,31.08105513,20.94036096,43.78575226,0.331040031,1.178740596,2.801288183,4.261085887,2.286861653,2.040610492,2.107311667,0.042707821,0.030661013,0.088021289,0.133229619,0.052861766,0.047408532,0.064007894,0.280974416,0.173527524,1.217939664,0.742063181,0.913675049,1.173565179,0.638198939,2.26082678,2.191746171,3.541230428,3.337777174,8.760793951,6.563365127,0.060195934,0.063377111,0.108229512,0.106980092,0.114149098,0.180836114,0.080535043
RT12.997_MZ228.26775,2.625169457,2.339671777,2.28924907,2.575818922,2.013856938,2.622879639,1.624745545,28.54379272,33.08192715,27.89991965,35.71282588,32.28369183,14.94089339,21.71186351,0.007086095,0.041157538,0.049054335,0.07785129,0.057350104,0.06778054,0.088077161,0.000302674,0.000278029,0.188250333,0.291772257,0.155171455,0.046251393,0.202786047,0.358963635,0.214678646,0.918428169,0.410099168,0.376863994,0.480458878,0.040300006,0.184256418,0.222154452,0.571522162,0.757168075,1.842869501,1.56988899,0.043385384,0.061369341,0.221096959,0.279610194,0.454025718,1.181785867,0.367838846
RT13.926_MZ256.29888,1.356035975,1.119097405,1.322696241,1.681793483,1.331762336,1.87477175,1.095588823,10.22434955,15.26751029,15.50510032,24.780963,21.40192619,9.400688909,14.26605638,0.002822987,0.010518766,0.010350556,0.01691533,0.009484695,0.013825805,0.017501088,0.005488971,0.003629931,0.012846593,0.020274028,0.006772436,0.006900775,0.009303958,0.05453243,0.030672126,0.192478752,0.080065807,0.079602891,0.090609607,0.01084973,0.029348863,0.038399226,0.08170939,0.096534012,0.288948744,0.214349927,0.006014425,0.005175684,0.014326612,0.02169915,0.034221323,0.10754952,0.02964492
RT15.145_MZ312.3612,1.858631139,0.788868844,1.311268536,1.719913805,1.186744103,2.270091782,0.910275234,3.566335916,10.48854384,12.43304603,20.341137,18.80299005,8.805012521,14.43264708,0.007608488,0.019510732,0.015638732,0.022627981,0.010752156,0.021272174,0.01995363,0.004445086,0.002782996,0.010552789,0.034212825,0.003752786,0.021687174,0.010624318,0.043085923,0.023639748,0.211679341,0.08096065,0.089763163,0.078807616,0.026665967,0.024171435,0.022880691,0.035064464,0.030893342,0.156935147,0.109143759,0.017363244,0.007740534,0.012145586,0.021406444,0.022564051,0.040759066,0.011548079
RT13.883_MZ256.29921,0.000545366,0.148242356,0.215284385,0.323781869,0.368471462,0.687648621,0.00404181,6.484039088,0.002049528,11.79571804,0.002904836,0.002925479,6.950193838,11.76534971,0.000299591,0.000674823,0.000265152,0.000130762,0.000108751,7.12E-05,0.000293524,0.000130627,0.000103418,0.001018355,0.000653922,4.78E-05,0.002558959,0.000776136,5.46E-05,5.06E-05,0.000629322,0.000540667,0.000958736,0.000833512,0.001105512,8.32E-05,0.000115308,9.76E-05,0.000185604,0.003513986,0.000463878,0.000619656,0.000633889,0.001689022,0.005079862,0.009587822,0.029661171,0.007517489
RT14.932_MZ369.38266,0.009219614,0.024902028,0.01139894,0.010045099,0.003178172,0.022395345,0.011960944,0.001807657,0.021403849,0.000475874,0.014346464,0.000972602,0.007336837,0.003517839,3.307686275,9.883022828,6.2369608,0.010815944,2.521925061,3.347679081,4.99796629,0.004743504,0.000445467,0.708824517,0.024790648,0.014924863,0.003364088,0.001833836,0.00617379,0.003197026,0.011095151,0.006504297,0.00476811,0.011332758,0.033751167,0.000136343,0.17730779,0.207682807,0.126427358,0.719715761,0.374549844,0.000102785,0.000358067,0.856070506,1.951959887,1.909690672,2.512478492,1.007858397
RT14.962_MZ369.38272,0.010572212,0.033674109,0.021239845,0.010154781,0.029515247,0.021706322,0.011747986,0.001385295,0.022652426,0.015754219,0.015053323,0.016234731,0.006193538,0.03206112,3.298921299,9.819485336,6.192767758,6.009116635,2.520321631,2.895013623,4.987809341,0.00880182,5.69E-05,0.798342089,0.034198169,0.020866085,0.004751945,0.002497355,0.008338613,0.005320409,0.013808549,0.008629125,0.005922369,0.014936662,0.040154485,0.0630904,0.170417691,0.225389409,0.137184686,0.725553661,0.37503603,0.568712032,0.476750182,0.960610171,1.956934126,1.911386682,2.511000732,1.00921289
RT15.559_MZ368.42374,1.161347401,0.283493981,0.607268713,0.616102057,0.552465479,0.869737818,0.382932965,0.253797059,3.396259032,4.566721329,9.274038136,7.395293889,3.949309499,7.067253897,0.027316725,0.051985296,0.021062595,0.057029426,0.015027566,0.030966463,0.03126366,0.01417683,0.011330616,0.04229232,0.079057339,0.011867239,0.064955862,0.027572544,0.070696957,0.043154803,0.269318788,0.117810351,0.140073231,0.123303945,0.065820521,0.041629429,0.04711665,0.060661844,0.04520518,0.266838962,0.198018535,0.036446418,0.028836047,0.051492167,0.086398917,0.067295739,0.092548765,0.026293018
RT12.647_MZ343.29438,0.268903493,0.275116531,0.225313277,0.220655804,0.177222904,0.17383379,0.111270812,0.12617139,0.108651505,0.125537347,0.176216957,0.16635687,0.129645588,0.144636668,0.649704286,2.695439927,1.778580369,2.01438831,1.328748904,1.192761543,1.497504998,6.394130909,4.719364016,3.668784201,6.067043297,3.102457981,2.726338728,2.228125916,0.488492226,0.279759515,1.388910544,0.682365961,0.704480584,0.900643316,2.875610872,5.588841656,2.92603998,2.639099411,2.333774112,2.773151183,2.13830345,2.193147666,2.175421058,4.434738567,1.632781888,1.669779463,1.433781656,1.104335793
RT15.369_MZ340.39255,0.734379467,0.21879995,0.436125225,0.520420384,0.391486576,0.734903147,0.296308821,0.467330945,3.246975996,4.372393946,7.275006305,6.420277833,3.099915602,5.185890212,0.007123699,0.015616146,0.006246836,0.013560485,0.00439753,0.010846913,0.009252591,0.003121321,0.002425684,0.011303904,0.021795248,0.002136992,0.020495647,0.007423295,0.02989893,0.01777813,0.157758643,0.061611364,0.07004417,0.060833859,0.020138986,0.017105756,0.017563693,0.024472264,0.020312197,0.106156492,0.086948875,0.01349194,0.008513657,0.013761245,0.025674197,0.021271542,0.03433359,0.010323708
